MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,31
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;21,98
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,35
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,97
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;50,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;21,9
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;18,47
NIMBUS                   ;NÃO INFORMADO       ;7310;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;22,74
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;10,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;51,36
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;SÃO MATEUS DO MARANHÃO-MA                         ;2111508                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;19,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,5
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;23,4
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;23,21
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;27,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,04
NITRABOR                 ;NÃO INFORMADO       ;12798;FLORES DA CUNHA-RS                                ;4308201                       ;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;3,94
NITRABOR                 ;NÃO INFORMADO       ;12798;ITABELA-BA                                        ;2914653                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,9
NITRABOR                 ;NÃO INFORMADO       ;12798;MOJI MIRIM-SP                                     ;3530805                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,2
NITRAL                   ;NITRAL URBANA BECKER;7151;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
NITRAL                   ;NITRAL URBANA BECKER;7151;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
NITRAL                   ;NITRAL URBANA BECKER;7151;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;DOM BASÍLIO-BA                                    ;2910107                       ;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;5,8
NITRATO DE CALCIO        ;MANGA ADUBO FOLIAR G;13199;JUAZEIRO-BA                                       ;2918407                       ;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,9
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;RIO BANANAL-ES                                    ;3204351                       ;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,16
NITRATO DE CALCIO        ;MANGA ADUBO FOLIAR G;13199;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,92
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;ALFREDO WAGNER-SC                                 ;4200705                       ;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;4,44
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;SÃO JOAQUIM-SC                                    ;4216503                       ;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,89
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;ITABELA-BA                                        ;2914653                       ;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,6
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,48
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;PINHEIROS-ES                                      ;3204104                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,0
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;RIO BANANAL-ES                                    ;3204351                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,16
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;NOVA BRASILÂNDIA D'OESTE-RO                       ;1100148                       ;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,86
NITRATO DE CALCIO        ;NÃO INFORMADO       ;4554;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,93
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;65,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;12,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3,29
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;14,16
NITRATO DE POTASSIO      ;MISTA MANGA ADUBO FO;13200;JUAZEIRO-BA                                       ;2918407                       ;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;7,2
NITRATO DE POTASSIO      ;MISTA MANGA ADUBO FO;13200;GRANDES RIOS-PR                                   ;4108700                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;9,8
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;64,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;15,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,38
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;14,3
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;60,0
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,64
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;15,1
NITRATO DE POTASSIO      ;NÃO INFORMADO       ;4555;FLORESTA DO ARAGUAIA-PA                           ;1503044                       ;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;13,0
NIVEL LASER              ;NÃO INFORMADO       ;7868;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
NIVEL LASER              ;NÃO INFORMADO       ;7868;RESTINGA SECA-RS                                  ;4315503                       ;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
NIVEL LASER              ;NÃO INFORMADO       ;7868;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
NIVEL LASER              ;NÃO INFORMADO       ;7868;CACHOEIRA DO SUL-RS                               ;4303004                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
NOMINEE                  ;400 SC 400 G/L BISPI;8144;SÃO MATEUS DO MARANHÃO-MA                         ;2111508                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1360,0
NOMINEE                  ;400 SC 400 G/L BISPI;8144;SÃO MATEUS DO MARANHÃO-MA                         ;2111508                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1000,0
