MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;88,53
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;115,0
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;92,84
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;115,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;10,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;18,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;35,6
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;SÃO MATEUS DO MARANHÃO-MA                         ;2111508                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;23,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;37,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,72
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,47
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,6
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;22,5
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;20,6
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;18,47
NIMBUS                   ;NÃO INFORMADO       ;7310;LAGOA DA CONFUSÃO-TO                              ;1711902                       ;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;21,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;23,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;FRANCA-SP                                         ;3516200                       ;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;21,5
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;10,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;20,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;39,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;SÃO MATEUS DO MARANHÃO-MA                         ;2111508                       ;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;25,0
NIMBUS                   ;428 G/L ÓLEO MINERAL;7311;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;30,0
