CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;DIANÓPOLIS-TO                                     ;1707009                       ;TO        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,24
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,9
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,18
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
