produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ALHO                     ;NOBRE 5 EXTRA ROXO  ;7616;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;16,46
ALHO                     ;NACIONAL            ;5358;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;22,0
ALHO                     ;NOBRE 5 EXTRA ROXO  ;7616;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;19,43
ALHO                     ;NOBRE 4 EXTRA ROXO  ;7619;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;16,62
ALHO                     ;NOBRE 6 EXTRA ROXO  ;7613;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,04
ALHO                     ;NOBRE 7 COMERCIAL RO;7612;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,44
ALHO                     ;NOBRE               ;5362;CORNÉLIO PROCÓPIO-PR                              ;4106407                       ;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;18,91
ALHO                     ;COMUM               ;5361;CRISTÓPOLIS-BA                                    ;2909703                       ;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;18,1
ALHO                     ;COMUM               ;5361;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;23,0
ALHO                     ;NOBRE 5 EXTRA ROXO  ;7616;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;13,52
