Categoria,Produto,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
VERDURAS,Cogumelo Paris,M,B,B,B,B,M,M,B,B,B,A,A
VERDURAS,Cogumelo Porto Belo,B,B,B,B,M,B,B,M,A,M,A,A
VERDURAS,Cogumelo Shimeji,M,B,M,B,B,B,B,M,A,A,M,M
VERDURAS,Cogumelo Shitake,M,M,M,B,M,B,B,M,M,M,A,A
VERDURAS,Couve Manteiga,B,M,B,B,M,M,A,A,A,M,M,B
VERDURAS,Couve de Bruxelas,M,B,B,B,B,M,M,A,A,A,A,M
VERDURAS,Couve-Flor,B,B,B,B,M,B,M,A,A,M,M,B
VERDURAS,Endívia,A,M,M,M,B,M,M,M,B,B,B,A
VERDURAS,Endro,B,B,M,A,B,M,M,M,A,A,M,A
VERDURAS,Erva Doce,M,B,B,B,M,B,B,M,M,M,M,A
VERDURAS,Escarola,A,A,A,M,A,M,M,A,A,A,M,B
VERDURAS,Escarola Hidropônica,B,B,B,B,B,B,B,A,M,A,A,A
VERDURAS,Espinafre,A,A,M,M,A,M,A,A,A,A,A,B
VERDURAS,Espinafre Hidropônico,A,M,M,M,A,B,A,A,A,A,M,M
VERDURAS,Estragão,B,M,M,M,M,B,B,B,M,A,A,A
VERDURAS,Gengibre com Folhas,A,A,A,M,M,B,B,B,B,B,B,A
VERDURAS,Gobô,B,B,B,B,B,B,B,M,M,M,M,A
VERDURAS,Hana Nira,A,A,A,B,B,B,B,B,B,A,M,M
VERDURAS,Hortelã,A,M,A,A,A,B,B,B,B,B,B,B
VERDURAS,Louro,M,M,B,M,M,B,B,B,M,A,A,B
VERDURAS,Manjericão,B,B,B,B,B,B,A,A,A,A,M,M
VERDURAS,Manjerona,M,B,M,M,M,B,M,A,A,A,M,A
VERDURAS,Milho Verde,B,B,B,B,M,A,M,B,B,B,B,B
VERDURAS,Mostarda,B,M,A,A,M,B,M,M,M,A,A,M
VERDURAS,Mostarda Hidropônica,B,B,M,B,B,B,M,A,M,A,A,A
VERDURAS,Moyashi,M,A,M,B,M,B,B,M,A,A,M,M
VERDURAS,Nabo,A,B,M,B,M,B,B,M,A,A,A,M
VERDURAS,Orégano,A,B,M,M,M,B,M,M,M,M,A,A
VERDURAS,Palmito Pupunha,A,B,B,B,B,B,M,B,B,B,M,M
VERDURAS,Rabanete,B,B,M,M,B,B,A,A,M,M,A,M
VERDURAS,Radicchio,A,M,A,M,B,B,B,B,M,M,M,A
VERDURAS,Repolho Verde Liso,M,M,A,M,M,B,M,M,M,M,B,B
VERDURAS,Repolho Roxo,A,M,A,A,A,B,M,M,M,A,A,A
VERDURAS,Rúcula,A,A,A,B,B,B,M,B,B,B,B,B
VERDURAS,Rúcula Hidropônica,M,M,M,B,B,B,B,B,M,A,A,M
VERDURAS,Salsa,M,B,M,B,B,B,M,M,B,M,M,A
VERDURAS,Salsão Branco/Verde,M,M,A,M,M,M,M,B,B,B,B,A
VERDURAS,Sálvia,M,B,B,B,M,B,M,M,M,A,A,A
VERDURAS,Tomilho,B,B,B,B,B,B,B,M,B,A,A,A
---,,,,,,,,,,,,,
DIVERSOS,Alho Importado,M,M,M,M,M,A,A,M,B,B,B,M
DIVERSOS,Alho Importado Argentina,A,A,A,M,A,B,B,B,B,B,B,M
DIVERSOS,Alho Importado China,B,B,B,B,M,M,A,M,B,M,M,B
DIVERSOS,Alho Importado Estados Unidos,B,B,B,B,B,B,B,B,B,B,B,A
DIVERSOS,Alho Nacional,M,B,B,B,B,B,M,A,A,A,A,M
DIVERSOS,Amendoim com Casca,B,B,B,M,M,A,M,M,M,B,B,B
DIVERSOS,Amendoim sem Casca,B,B,M,B,A,B,A,A,A,M,A,B
DIVERSOS,Batata Asterix,B,B,M,A,A,M,M,M,M,B,M,A
DIVERSOS,Batata Lavada,B,B,B,B,B,B,M,M,B,B,B,A
DIVERSOS,Cebola Importada,B,B,M,A,A,B,B,B,B,B,B,B
DIVERSOS,Cebola Importada Argentina,B,B,B,A,A,M,B,B,B,B,B,B
DIVERSOS,Cebola Importada Espanha,B,B,B,B,B,B,B,A,A,M,A,M
DIVERSOS,Cebola Importada Holanda,B,B,B,B,M,M,B,A,A,A,A,B
DIVERSOS,Cebola Nacional,A,M,M,B,B,M,A,A,A,A,A,A
DIVERSOS,Cebola Pérola,M,B,B,B,B,B,M,M,M,M,M,A
DIVERSOS,Cebola Roxa,A,A,A,M,B,B,B,M,B,B,M,A
DIVERSOS,Coco Seco,M,B,M,M,B,B,A,M,A,A,A,B
DIVERSOS,Milho de Pipoca Importado,B,M,M,B,M,A,B,M,M,M,B,A
DIVERSOS,Ovo Branco,B,B,A,M,M,B,B,A,B,M,A,B
DIVERSOS,Ovo de Codorna,A,B,M,B,M,A,A,M,M,M,B,B
DIVERSOS,Ovo Vermelho,M,B,B,B,M,M,A,A,M,M,M,M
DIVERSOS,Pinhão,B,B,B,M,A,A,B,B,B,B,B,B
---,,,,,,,,,,,,,
FLORES,Alstroméria,A,M,A,B,B,M,M,A,A,A,M,A
FLORES,Angélica,A,A,M,M,B,B,B,B,B,B,B,M
FLORES,Agapanto,B,B,B,M,B,B,M,B,B,B,A,A
FLORES,Antúrio - PCT,A,A,A,A,M,A,B,B,B,B,M,A
FLORES,Antúrio - Vaso,B,B,B,B,B,M,A,A,M,M,M,A
FLORES,Avenca,A,M,M,B,M,M,M,B,B,B,M,A
FLORES,Azaleia,M,B,B,B,A,B,B,A,A,A,A,A
FLORES,Begônia,M,B,B,B,A,M,B,B,B,B,M,M
FLORES,Bico de Papagaio,B,B,B,B,B,B,B,B,B,B,M,A
FLORES,Boca de Leão,M,B,B,B,B,B,B,A,A,A,M,A
FLORES,Branquinha,A,M,B,B,M,A,A,M,A,A,A,A
FLORES,Bromélia,B,M,B,B,B,M,A,A,A,A,A,A
FLORES,Bromélia,B,M,B,B,B,M,A,A,A,A,A,A
FLORES,Calêndula,B,B,B,B,A,A,B,B,B,B,B,B
FLORES,Callas,B,B,B,B,B,B,M,A,A,A,M,B
FLORES,Ciclamen,M,B,B,B,A,A,A,A,A,M,M,B
