CARNE SUINA              ;PERNIL COM OSSO RESF;11178;RS        ;SUL            ;2025;6;VAREJO                                                      ;20,89
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SC        ;SUL            ;2025;6;ATACADO                                                     ;13,62
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;SC        ;SUL            ;2025;6;ATACADO                                                     ;12,6
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SP        ;SUDESTE        ;2025;6;ATACADO                                                     ;20,27
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CE        ;NORDESTE       ;2025;7;ATACADO                                                     ;16,41
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;MG        ;SUDESTE        ;2025;7;ATACADO                                                     ;12,39
CARNE SUINA              ;PERNIL COM OSSO RESF;11178;RS        ;SUL            ;2025;7;VAREJO                                                      ;21,77
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;SC        ;SUL            ;2025;7;ATACADO                                                     ;13,0
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SC        ;SUL            ;2025;7;ATACADO                                                     ;14,3
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;19,79
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CE        ;NORDESTE       ;2025;8;ATACADO                                                     ;16,86
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;MG        ;SUDESTE        ;2025;8;ATACADO                                                     ;12,75
CARNE SUINA              ;PERNIL COM OSSO RESF;11178;RS        ;SUL            ;2025;8;VAREJO                                                      ;22,37
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SC        ;SUL            ;2025;8;ATACADO                                                     ;14,45
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;SC        ;SUL            ;2025;8;ATACADO                                                     ;13,19
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SP        ;SUDESTE        ;2025;8;ATACADO                                                     ;19,74
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CE        ;NORDESTE       ;2025;9;ATACADO                                                     ;17,66
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;MG        ;SUDESTE        ;2025;9;ATACADO                                                     ;13,68
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;SC        ;SUL            ;2025;9;ATACADO                                                     ;14,0
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SC        ;SUL            ;2025;9;ATACADO                                                     ;15,89
CARNE SUINA              ;PERNIL COM OSSO CONG;11177;SP        ;SUDESTE        ;2025;9;ATACADO                                                     ;18,86
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CE        ;NORDESTE       ;2025;10;ATACADO                                                     ;16,79
