ESTUFA                   ;COBERTO COM LONA E C;13898;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3600,0
ESTUFA                   ;NÃO INFORMADO       ;11341;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;22000,0
ESTUFA                   ;SECAGEM DO CAFÉ     ;11342;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
ESTUFA                   ;MARACUJÁ PRODUÇÃO DE;15180;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
ESTUFA                   ;NÃO INFORMADO       ;11341;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ETHREL 720               ;720 G/L ETEFOM      ;14858;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;350,0
ETHREL 720               ;720 G/L ETEFOM      ;14858;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;225,0
ETHREL 720               ;NÃO INFORMADO       ;14857;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;252,0
EUROFIT MAX              ;MACRONUTRIENTES E MI;14415;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;181,29
EVIDENCE                 ;WG 700 G/KG IMIDACLO;13770;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;498,75
EVIDENCE                 ;NÃO INFORMADO       ;11779;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;281,56
EVIDENCE                 ;WG 700 G/KG IMIDACLO;13770;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;294,0
EVOLUTION                ;37,5 G/KG + 525 G/KG;14022;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;58,28
