GASOLINA                 ;NÃO INFORMADO       ;4421;MANICORÉ-AM                                       ;1302702                       ;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;8,5
GASOLINA                 ;NÃO INFORMADO       ;4421;LARANJAL DO JARI-AP                               ;1600279                       ;AP        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,98
GASOLINA                 ;NÃO INFORMADO       ;4421;BELMONTE-BA                                       ;2903409                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,41
GASOLINA                 ;NÃO INFORMADO       ;4421;MANOEL VITORINO-BA                                ;2920403                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,39
GASOLINA                 ;NÃO INFORMADO       ;4421;UAUÁ-BA                                           ;2932002                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,48
GASOLINA                 ;NÃO INFORMADO       ;4421;ZÉ DOCA-MA                                        ;2114007                       ;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,24
GASOLINA                 ;NÃO INFORMADO       ;4421;JAPONVAR-MG                                       ;3135357                       ;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,45
GASOLINA                 ;NÃO INFORMADO       ;4421;LONTRA-MG                                         ;3138658                       ;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,49
GASOLINA                 ;NÃO INFORMADO       ;4421;ALTAMIRA-PA                                       ;1500602                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,67
GASOLINA                 ;NÃO INFORMADO       ;4421;COLARES-PA                                        ;1502608                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,5
GASOLINA                 ;NÃO INFORMADO       ;4421;CURRALINHO-PA                                     ;1502806                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;6,0
GASOLINA                 ;NÃO INFORMADO       ;4421;IGARAPÉ-MIRI-PA                                   ;1503309                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,89
GASOLINA                 ;NÃO INFORMADO       ;4421;LIMOEIRO DO AJURU-PA                              ;1504000                       ;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;7,0
